feature,pearson_r,p_value,n
w60_hot_hours,0.504,0.0121,24
w60_gdd_sum,0.503,0.0122,24
w30_gdd_sum,0.502,0.0124,24
w30_hot_hours,0.497,0.0135,24
w30_lux_sum,0.496,0.0136,24
w60_lux_sum,0.495,0.014,24
w60_ndays,0.494,0.0141,24
w30_ndays,0.494,0.0141,24
w30_temp_max,0.491,0.0148,24
w60_temp_max,0.49,0.0152,24
w30_vpd_mean,0.483,0.0169,24
w60_rain_sum,0.478,0.0181,24
w30_temp_min,0.478,0.0181,24
w60_vpd_mean,0.423,0.0392,24
w60_vpd_stress_hours,0.412,0.0452,24
w30_vpd_stress_hours,0.408,0.0476,24
w30_temp_mean,0.386,0.0624,24
w30_humid_mean,0.343,0.1003,24
w60_temp_min,0.336,0.1084,24
w60_temp_mean,0.324,0.1226,24
w60_humid_mean,0.245,0.2492,24
w60_cool_nights,0.237,0.2653,24
w30_cool_nights,0.176,0.4096,24
w30_rain_sum,0.142,0.5088,24
